what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582120753
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1347582127915
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1347582127918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582128004
error,log,,,"Could not load the Tomcat server configuration at \\Servers\\Tomcat v7.0 Server at localhost-config. The configuration may be corrupt or incomplete.",1347582128040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582131469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582140077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582147677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582152025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582152783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1347582152792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582155273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582177888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582179195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582246313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582249074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582256206
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1347582261364
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347582262691
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1347582262714
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1347582269287
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347582277693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582280600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582428920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347582452298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347582456197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582482076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582493645
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1347582502875
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347582506434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582515098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582547506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582637144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582669940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347582677978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582682830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582692220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347582722226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347582732708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582733953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582740065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582742733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347582772837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347582794476
